Company Name	Ticker	Exchange	GICS Sector	GICS Industry Group	GICS Industry	GICS Sub-Industry
Walmart Inc	WMT	New York Stock Exchange, Inc.	Consumer Staples	Food & Staples Retailing	Food & Staples Retailing	Hypermarkets & Super Centers
Wells Fargo & Co	WFC	New York Stock Exchange, Inc.	Financials	Banks	Banks	Diversified Banks
Williams-Sonoma Inc	WSM	New York Stock Exchange, Inc.	Consumer Discretionary	Retailing	Specialty Retail	Homefurnishing Retail
Wyndham Hotels & Resorts Inc	WH	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Hotels, Resorts and Cruise Lines
Xerox Holdings Corp	XRX	New York Stock Exchange, Inc.	Information Technology	Technology Hardware & Equipment	Technology Hardware, Storage & Peripherals	Technology Hardware, Storage & Peripherals
Yum Brands Inc	YUM	New York Stock Exchange, Inc.	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
ZTO Express (Cayman) Inc	ZTO	New York Stock Exchange, Inc.	Industrials	Transportation	Air Freight and Logistics	Air Freight and Logistics
Anheuser-Bush InBev SA/NV	BUD	New York Stock Exchange, Inc.	Consumer Staples	Food, Beverage & Tobacco	Beverages	Brewers
Cactus Inc.	WHD	New York Stock Exchange, Inc.	Energy	Energy	Energy Equipment & Services	Oil & Gas Equipment & Services
Charles Schwab	SCHW	New York Stock Exchange, Inc.	Financials	Diversified Financials	Capital Markets	Investment Banking & Brokerage
CRH PLC	CRH	New York Stock Exchange, Inc.	Materials	Materials	Construction Materials	Construction Materials
Dow Chemical Company	DOW	New York Stock Exchange, Inc.	Materials	Materials	Chemicals	Commodity Chemicals
Lithium Americas	LAC	New York Stock Exchange, Inc.	Materials	Materials	Metals & Mining	Diversified Metals & Mining
Novo Nordisk	NVO	New York Stock Exchange, Inc.	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	Pharmaceuticals
Textron Systems	TXT	New York Stock Exchange, Inc.	Industrials	Capital Goods	Aerospace & Defense	Aerospace & Defense
United Parcel Service	UPS	New York Stock Exchange, Inc.	Industrials	Transportation	Air Freight & Logistics	Air Freight & Logistics
China Tourism Group Duty Free Corp Ltd	601888	Shanghai Stock Exchange	Consumer Discretionary	Retailing	Specialty Retail	Specialty Stores
China World Trade Center Co Ltd	600007	Shanghai Stock Exchange	Real Estate	Real Estate	Real Estate Management & Development	Real Estate Operating Companies
China Yangtze Power Co Ltd	600900	Shanghai Stock Exchange	Utilities	Utilities	Independent Power and Renewable Electricity Producers	Renewable Electricity
Foxconn Industrial Internet Co Ltd	601138	Shanghai Stock Exchange	Information Technology	Technology Hardware and Equipment	Electronic Equipment, Instruments and Components	Electronic Manufacturing Services
Jiangsu Hengrui Pharmaceuticals Co Ltd	600276	Shanghai Stock Exchange	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Kweichow Moutai Co Ltd	600519	Shanghai Stock Exchange	Consumer Staples	Food, Beverage and Tobacco	Beverages	Distillers and Vintners
Shanghai International Airport Co Ltd	600009	Shanghai Stock Exchange	Industrials	Transportation	Transportation Infrastructure	Airport Services
Bank Of Ningbo Co Ltd	2142	Shenzhen Stock Exchange	Financials	Banks	Banks	Regional Banks
China Vanke Co Ltd	2	Shenzhen Stock Exchange	Real Estate	Real Estate	Real Estate Management & Development	Real Estate Development
Hangzhou Hik-Vision Digital Technology Co Ltd	2415	Shenzhen Stock Exchange	Information Technology	Technology Hardware and Equipment	Electronic Equipment, Instruments and Components	Electronic Equipment and Instruments
Midea Group Co Ltd	333	Shenzhen Stock Exchange	Consumer Discretionary	Consumer Durables and Apparel	Household Durables	Household Appliances
Shenzhen Mindray Bio-Medical Electronics Co Ltd	300760	Shenzhen Stock Exchange	Health Care	Health Care Equipment and Services	Health Care Equipment and Supplies	Health Care Equipment
Wuliangye Yibin Co Ltd	858	Shenzhen Stock Exchange	Consumer Staples	Food, Beverage and Tobacco	Beverages	Distillers and Vintners
Nestle SA	NESN	SIX Swiss Exchange	Consumer Staples	Food, Beverage & Tobacco	Food Products	Packaged Foods & Meats
Roche Holding AG	ROG	SIX Swiss Exchange	Health Care	Pharmaceuticals & Biotechnology	Pharmaceuticals	35202010
Agnico Eagle Mines	AEM	Toronto Stock Exchange	Materials	Materials	Metals and Mining	Gold
Air Canada	AC	Toronto Stock Exchange	Industrials	Transportation	Airlines	Airlines
Alimentation Couche-Tard Inc	ATD	Toronto Stock Exchange	Consumer Staples	Food and Staples Retailing	Food and Staples Retailing	Food Retail
Aurora Cannabis Inc	ACB	Toronto Stock Exchange	Health Care	Pharmaceuticals and Biotechnology	Pharmaceuticals	Pharmaceuticals
Bank of Nova Scotia	BNS	Toronto Stock Exchange	Financials	Banks	Banks	Diversified Banks
BCE Inc	BCE	Toronto Stock Exchange	Communication Services	Telecommunication Services	Diversified Telecommunication Services	Integrated Telecommunication Services
Bombardier Inc	BBD.B	Toronto Stock Exchange	Industrials	Capital Goods	Aerospace and Defense	Aerospace and Defense
Boyd Group Services Inc	BYD	Toronto Stock Exchange	Industrials	Commercial Services and Supplies	Commercial Services and Supplies	Diversified Support Services
Canada Goose Holdings Inc	GOOS	Toronto Stock Exchange	Consumer Discretionary	Consumer Durables and Apparel	Textiles, Apparel and Luxury Goods	Apparel, Accessories and Luxury Goods
Canadian Natural Resources Ltd	CNQ	Toronto Stock Exchange	Energy	Energy	Oil, Gas and Consumable Fuels	Oil and Gas Exploration and Production
Canadian Utilities Ltd	CU	Toronto Stock Exchange	Utilities	Utilities	Multi-Utilities	Multi-Utilities
Canadian Western Bank	CWB	Toronto Stock Exchange	Financials	Banks	Banks	Regional Banks
Cargojet Inc	CJT	Toronto Stock Exchange	Industrials	Transportation	Air Freight and Logistics	Air Freight and Logistics
Constellation Software Inc	CSU	Toronto Stock Exchange	Information Technology	Software and Services	Software	Application Software
Dollarama Inc	DOL	Toronto Stock Exchange	Consumer Discretionary	Retailing	Multiline Retail	General Merchandise Stores
Enghouse Systems Ltd	ENGH	Toronto Stock Exchange	Information Technology	Software and Services	Software	Application Software
Fairfax Financial Holdings Ltd	FFH	Toronto Stock Exchange	Financials	Insurance	Insurance	Multi-line Insurance
Great-West Lifeco Inc	GWO	Toronto Stock Exchange	Financials	Insurance	Insurance	Life and Health Insurance
Open Text Corp	OTEX	Toronto Stock Exchange	Information Technology	Software and Services	Software	Application Software
Restaurant Brands International Inc	QSR	Toronto Stock Exchange	Consumer Discretionary	Consumer Services	Hotels, Restaurants and Leisure	Restaurants
Royal Bank of Canada	RY	Toronto Stock Exchange	Financials	Banks	Commercial Banks	Diversified Banks
Shopify Inc	SHOP	Toronto Stock Exchange	Information Technology	Software and Services	IT Services	Internet Services & Infrastructure
Suncor Energy Inc	SU	Toronto Stock Exchange	Energy	Energy	Oil, Gas and Consumable Fuels	Integrated Oil and Gas
